gene,sample_A,sample_B,sample_C
ACT_0012062,6.997,66.424,33.02
ACT_0012154,31.392,84.802,71.975
ACT_0012213,30.032,30.928,40.839
ACT_0012224,40.24,29.566,12.729
ACT_0012297,42.045,94.036,67.732
ACT_0012325,90.281,61.551,30.095
ACT_0012559,54.794,0.041,28.691
ACT_0012607,42.989,57.998,65.471
ACT_0012675,46.499,44.216,21.37
ACT_0012851,47.319,90.118,79.602
ACT_0013144,16.969,8.48,51.545
ACT_0013269,63.294,33.519,81.842
ACT_0013401,75.114,67.28,22.464
ACT_0013496,19.913,2.443,24.484
ACT_0013548,47.514,84.974,7.283
ACT_0013551,41.444,62.977,19.444
ACT_0013597,69.635,49.438,24.398
ACT_0013655,65.606,0.554,75.096
ACT_0013675,77.005,10.659,42.515
ACT_0013805,17.589,95.797,51.796
ACT_0013869,5.022,24.92,84.834
ACT_0013913,45.646,80.142,66.758
ACT_0013914,98.789,59.545,95.004
ACT_0013920,89.143,61.265,71.927
ACT_0013958,50.478,83.057,54.787
ACT_0014040,89.721,74.366,47.467
ACT_0014159,25.919,24.724,63.766
ACT_0014283,76.581,52.13,62.675
ACT_0014331,27.46,7.748,28.573
ACT_0014425,27.172,31.971,54.015
ACT_0014459,13.837,23.126,69.395
ACT_0014612,70.642,6.423,40.76
ACT_0014742,54.261,41.577,20.683
ACT_0015019,42.014,90.484,58.408
ACT_0015051,69.552,85.673,76.559
ACT_0015180,38.038,0.59,35.176
ACT_0015230,75.348,85.345,95.343
ACT_0015308,41.902,74.752,54.613
ACT_0015329,60.325,22.054,21.942
ACT_0015394,43.584,2.902,33.613
ACT_0015468,67.914,40.432,16.504
ACT_0015599,46.739,12.763,62.226
ACT_0015718,2.697,39.402,56.439
ACT_0015736,2.71,64.275,13.57
ACT_0016169,46.17,5.028,37.91
ACT_0016263,21.166,32.685,76.123
ACT_0016413,37.913,75.201,83.192
ACT_0016431,25.227,8.191,1.938
ACT_0016521,53.942,99.991,34.996
ACT_0016563,65.014,78.123,65.175
ACT_0016805,75.423,94.961,19.936
ACT_0016842,2.038,15.238,12.622
ACT_0016944,66.946,56.397,21.796
ACT_0017044,69.946,76.69,16.779
ACT_0017052,60.725,74.793,11.453
ACT_0017092,81.93,96.472,10.81
ACT_0017190,2.568,31.196,67.735
ACT_0017379,95.817,39.665,71.501
ACT_0017493,7.6,69.061,62.724
ACT_0017509,10.19,77.248,85.029
ACT_0017530,60.041,12.106,98.384
ACT_0017620,78.264,34.72,42.838
ACT_0017640,37.057,50.596,34.123
ACT_0017664,84.958,82.233,10.554
ACT_0017804,96.079,63.559,82.871
ACT_0017877,70.731,43.549,73.38
ACT_0017904,96.547,27.008,80.82
ACT_0017979,53.817,48.35,43.557
ACT_0017988,73.103,26.84,85.171
ACT_0018118,83.073,8.666,88.163
ACT_0018128,24.386,46.471,61.033
ACT_0018630,37.899,2.87,85.095
ACT_0019116,18.184,21.212,79.783
ACT_0019297,34.034,88.032,70.118
ACT_0019335,27.627,1.015,94.806
ACT_0019439,8.561,72.007,48.858
ACT_0019506,75.816,69.061,64.59
ACT_0019513,49.082,79.293,9.305
ACT_0019569,22.16,69.179,30.621
ACT_0019684,58.156,47.326,53.092
ACT_0019842,42.55,74.594,33.079
ACT_0019852,70.285,27.092,25.14
ACT_0020395,12.066,19.258,11.955
ACT_0020562,53.586,76.219,18.515
ACT_0020658,21.638,48.42,72.459
ACT_0020751,97.661,52.464,28.3
ACT_0020770,10.053,19.412,22.748
ACT_0021089,17.944,1.415,53.414
ACT_0021184,27.431,97.429,55.336
ACT_0021410,69.742,12.628,86.846
ACT_0021463,49.088,87.272,57.406
ACT_0021621,46.94,44.047,18.436
ACT_0021656,5.138,94.106,47.773
ACT_0021697,82.212,40.071,7.408
ACT_0021747,62.945,5.361,14.92
ACT_0021812,56.284,30.384,99.392
ACT_0021897,11.845,76.444,60.632
ACT_0022072,79.074,22.569,52.257
ACT_0022104,45.051,44.272,86.017
ACT_0022323,99.003,30.538,62.103
ACT_0022395,60.963,74.009,94.759
ACT_0022493,20.779,21.103,66.043
ACT_0022785,15.706,17.381,7.506
ACT_0022928,0.268,45.05,59.381
ACT_0022967,29.126,23.148,70.696
ACT_0023010,70.299,45.403,68.738
ACT_0023055,92.391,78.783,62.506
ACT_0023101,66.118,93.367,42.514
ACT_0023113,54.456,64.763,90.841
ACT_0023149,82.663,7.141,16.592
ACT_0023226,30.761,74.896,56.921
ACT_0023270,28.861,12.435,68.868
ACT_0023292,69.973,94.268,50.047
ACT_0023297,49.38,8.044,3.986
ACT_0023412,43.203,32.232,25.037
ACT_0023566,9.133,96.191,83.596
ACT_0023661,57.52,95.079,99.957
ACT_0023862,67.228,26.951,4.023
ACT_0023900,75.627,47.05,65.151
ACT_0023958,91.607,18.149,58.533
ACT_0024178,63.478,49.173,9.124
ACT_0024179,34.796,33.331,67.013
ACT_0024186,85.773,32.98,69.367
ACT_0024204,28.822,94.519,81.357
ACT_0024289,55.01,45.483,31.452
ACT_0024353,32.327,97.018,40.418
ACT_0024475,51.46,98.812,65.766
ACT_0024602,54.259,41.325,18.758
ACT_0024905,36.178,75.644,62.541
ACT_0025017,75.999,20.356,54.922
ACT_0025210,92.767,43.812,69.825
ACT_0025343,12.143,97.315,60.887
ACT_0025385,23.93,15.838,55.084
ACT_0025405,55.225,9.321,99.226
ACT_0025426,91.293,46.145,11.747
ACT_0025481,83.214,49.838,71.66
ACT_0026013,50.887,27.342,83.472
ACT_0026121,98.024,24.373,55.127
ACT_0026516,38.359,92.187,50.824
ACT_0026542,87.933,86.403,27.625
ACT_0026592,79.001,41.494,93.425
ACT_0026751,50.774,82.055,28.284
ACT_0026775,29.856,58.694,99.89
ACT_0026817,48.964,14.86,53.858
ACT_0026960,34.512,55.192,54.343
ACT_0026969,45.534,32.178,18.865
ACT_0026979,69.75,57.18,23.356
ACT_0027371,77.554,4.365,74.471
ACT_0027552,70.523,81.141,38.608
ACT_0027788,66.369,82.075,98.082
ACT_0027960,49.533,3.702,50.229
ACT_0028154,59.018,86.97,87.419
ACT_0028257,44.031,52.595,45.693
ACT_0028455,72.244,40.998,65.478
ACT_0028463,15.436,46.949,96.92
ACT_0028526,33.856,69.27,64.984
ACT_0028530,85.177,85.234,85.934
ACT_0028539,38.001,31.666,71.872
ACT_0028813,75.94,87.238,3.59
ACT_0028826,6.842,63.116,92.093
ACT_0028888,99.743,74.677,43.397
ACT_0028894,9.844,63.375,87.258
ACT_0029166,44.368,69.4,90.342
ACT_0029173,4.599,79.614,29.337
ACT_0029226,37.484,14.557,53.117
ACT_0029280,56.593,79.252,16.998
ACT_0029542,7.897,87.084,61.971
ACT_0029567,24.083,91.283,14.312
ACT_0029781,46.115,25.398,25.533
ACT_0029983,0.94,80.463,90.121
ACT_0029987,67.761,15.798,44.173
ACT_0030038,34.557,58.757,63.894
ACT_0030115,42.431,25.01,84.53
ACT_0030136,19.922,38.469,48.321
ACT_0030181,23.721,57.192,57.481
ACT_0030275,99.269,29.523,97.794
ACT_0030304,65.823,27.448,56.593
ACT_0030344,68.58,74.467,4.904
ACT_0030351,60.641,49.673,90.416
ACT_0030634,28.619,79.886,60.706
ACT_0030921,35.232,63.662,62.089
ACT_0031532,67.776,72.093,65.918
ACT_0031594,83.834,62.825,90.34
ACT_0031934,64.634,30.893,44.082
ACT_0032256,57.957,73.236,9.013
ACT_0032399,29.511,74.748,17.564
ACT_0032621,13.216,53.941,97.149
ACT_0032837,53.085,91.349,83.047
ACT_0032877,25.697,82.469,48.185
ACT_0032989,80.649,74.656,33.872
ACT_0033139,11.517,96.289,14.076
ACT_0033173,96.65,86.014,72.422
ACT_0033201,97.994,96.727,80.459
ACT_0033263,36.578,79.068,1.392
ACT_0033377,53.657,45.479,67.283
ACT_0033402,67.234,58.456,82.242
ACT_0033455,94.029,10.835,23.382
ACT_0033580,2.502,88.423,56.141
ACT_0033588,91.526,22.137,6.322
ACT_0033681,82.386,90.939,30.219
ACT_0033809,40.83,13.978,94.626
ACT_0033889,30.436,49.262,9.719
ACT_0034030,88.726,13.566,45.364
ACT_0034148,67.049,74.314,94.597
ACT_0034198,41.913,74.227,15.452
ACT_0034279,41.488,9.902,48.935
ACT_0034376,40.812,95.152,3.272
ACT_0034597,37.053,44.338,95.056
ACT_0034654,85.545,9.935,68.568
ACT_0034713,54.447,97.784,35.867
ACT_0034816,39.814,18.981,12.216
ACT_0034846,84.803,45.472,66.277
ACT_0034931,64.17,59.715,2.136
ACT_0035041,78.679,24.357,12.592
ACT_0035136,56.458,6.861,76.516
ACT_0035401,20.716,21.595,86.97
ACT_0035501,32.856,14.755,90.053
ACT_0035565,0.284,85.841,14.469
ACT_0035590,12.999,25.065,17.45
ACT_0035692,66.106,2.578,1.486
ACT_0035992,78.998,23.793,32.377
ACT_0036067,17.425,5.24,74.172
ACT_0036133,52.609,74.567,47.625
ACT_0036180,77.802,51.324,10.905
ACT_0036188,50.384,94.542,4.337
ACT_0036252,78.323,86.698,52.145
ACT_0036280,45.804,96.403,6.083
ACT_0036367,47.898,40.162,68.61
ACT_0036379,49.027,90.97,7.349
ACT_0036472,8.079,60.83,6.568
ACT_0036544,27.502,63.308,54.836
ACT_0036558,32.519,99.463,53.056
ACT_0036748,45.372,60.543,9.918
ACT_0036771,70.178,85.279,65.092
ACT_0036846,76.896,72.084,21.502
ACT_0036869,45.155,22.849,33.893
ACT_0036918,45.35,41.599,9.509
ACT_0036932,42.676,66.511,37.43
ACT_0037052,15.264,92.299,6.713
ACT_0037097,83.177,9.323,9.656
ACT_0037100,73.88,81.177,55.637
ACT_0037143,58.647,56.159,32.965
ACT_0037173,12.223,35.36,66.534
ACT_0037185,75.028,86.809,72.106
ACT_0037419,96.84,60.041,35.165
ACT_0037513,57.792,21.274,65.674
ACT_0037589,22.424,10.822,84.537
ACT_0037626,36.756,76.261,57.41
ACT_0037670,80.722,84.516,97.455
ACT_0037725,81.843,61.357,64.27
ACT_0037935,2.625,92.908,82.946
ACT_0037940,26.745,18.042,70.27
ACT_0038069,30.898,33.982,0.611
ACT_0038182,86.986,56.632,40.078
ACT_0038252,14.187,63.317,3.066
ACT_0038291,74.611,21.513,41.983
ACT_0038525,34.09,37.005,72.16
ACT_0038551,77.684,56.759,8.496
ACT_0038610,5.261,15.741,61.784
ACT_0038741,67.397,27.21,66.194
ACT_0038748,48.566,44.204,27.317
ACT_0038809,75.494,11.382,42.991
ACT_0038830,28.325,67.849,48.663
ACT_0038919,66.713,4.542,39.526
ACT_0039059,59.932,0.769,30.142
ACT_0039199,21.123,13.723,25.552
ACT_0039263,32.812,0.773,74.701
ACT_0039282,17.569,38.021,70.367
ACT_0039330,50.026,83.335,80.62
ACT_0039353,7.208,86.176,4.23
ACT_0039386,1.874,92.116,86.211
ACT_0039436,57.576,57.34,70.95
ACT_0039582,41.769,11.517,2.086
ACT_0039718,32.477,80.132,61.813
ACT_0039771,83.203,91.977,8.813
ACT_0039820,84.448,24.332,58.887
ACT_0039850,52.396,39.577,31.027
ACT_0040182,33.951,33.307,16.813
ACT_0040242,51.048,11.403,50.995
ACT_0040420,90.592,34.938,72.738
AMB_0000027,81.895,81.504,23.627
AMB_0000091,14.644,19.727,60.24
AMB_0000169,76.022,65.551,17.715
AMB_0000337,77.285,49.412,75.445
AMB_0000453,75.988,44.891,92.415
AMB_0000456,56.449,63.53,62.452
AMB_0000776,86.425,62.722,15.096
AMB_0000787,6.829,44.221,30.282
AMB_0001011,27.467,5.617,50.734
AMB_0001043,31.041,45.191,5.689
AMB_0001557,83.17,7.673,86.425
AMB_0001576,85.529,61.501,50.707
AMB_0001588,46.271,55.432,79.182
AMB_0001723,89.588,44.973,80.982
AMB_0001729,65.184,32.153,47.563
AMB_0001823,15.086,6.187,10.35
AMB_0001831,89.913,34.344,71.432
AMB_0001895,50.455,17.256,24.774
AMB_0002078,43.776,43.942,52.275
AMB_0002192,15.875,37.285,28.289
AMB_0002246,40.877,33.837,59.789
AMB_0002279,78.923,64.731,6.591
AMB_0002405,9.451,67.838,28.415
AMB_0002512,72.373,65.656,90.634
AMB_0002630,87.328,33.336,58.274
AMB_0002675,14.143,34.982,96.77
AMB_0002743,69.848,39.196,59.504
AMB_0002786,93.8,30.958,37.668
AMB_0002957,79.166,81.318,67.012
AMB_0003052,82.896,73.877,68.541
AMB_0003122,52.639,64.602,42.341
AMB_0004131,36.183,36.26,18.026
AMB_0004265,21.419,94.767,48.627
AMB_0004381,22.654,13.757,7.717
AMB_0004389,84.443,10.114,77.087
AMB_0004807,83.512,88.368,3.775
AMB_0005161,33.676,76.631,13.105
AMB_0005240,37.672,16.225,83.135
AMB_0005439,77.11,80.904,16.554
AMB_0005742,43.767,41.086,67.636
AMB_0005807,23.753,44.42,28.493
AMB_0005816,74.854,44.893,53.401
AMB_0005828,30.947,80.862,46.902
AMB_0005908,83.511,36.784,94.713
AMB_0006162,98.444,46.168,28.177
AMB_0006196,38.187,52.746,96.627
AMB_0006348,81.689,80.126,13.84
AMB_0006396,25.0,64.118,87.412
AMB_0006412,55.454,10.259,84.589
AMB_0006613,85.117,28.506,76.312
AMB_0006616,27.279,90.531,14.735
AMB_0006954,43.747,94.641,22.204
AMB_0007035,45.113,34.959,2.667
AMB_0007149,5.326,50.201,23.578
AMB_0007175,99.453,37.491,2.819
AMB_0007372,93.083,83.918,64.996
AMB_0007461,79.138,13.76,28.688
AMB_0007482,82.976,69.607,13.879
AMB_0007633,70.554,44.86,0.525
AMB_0007673,7.923,25.592,83.496
AMB_0007724,54.88,72.723,52.777
AMB_0007751,11.119,28.81,30.115
AMB_0007806,4.775,41.983,79.39
AMB_0007945,45.711,11.086,90.515
AMB_0008088,59.674,1.644,51.538
AMB_0008170,24.194,14.358,42.924
AMB_0008256,61.481,24.056,41.657
AMB_0008439,66.437,8.561,97.465
AMB_0008470,6.768,52.606,50.733
AMB_0008556,98.833,55.415,39.045
AMB_0008727,47.014,63.567,98.104
AMB_0008798,25.365,1.624,78.852
AMB_0008875,34.48,73.294,62.826
AMB_0008940,77.15,73.519,33.252
AMB_0008943,4.434,54.601,81.351
AMB_0009172,17.509,77.914,46.462
AMB_0009250,69.539,63.174,81.15
AMB_0009452,6.31,77.619,45.768
AMB_0009658,29.344,4.381,19.947
AMB_0009662,4.191,93.337,51.538
AMB_0009669,98.912,54.303,25.331
AMB_0009677,75.329,19.11,35.697
AMB_0009695,78.084,86.58,33.192
AMB_0009764,12.448,36.802,88.949
AMB_0009849,74.331,89.464,38.664
AMB_0009937,97.372,49.62,49.752
AMB_0009986,92.431,51.928,80.115
AMB_0010071,72.708,7.893,60.245
AMB_0010187,82.234,54.547,32.121
AMB_0010233,8.007,66.092,30.65
AMB_0010237,60.262,42.612,68.976
AMB_0010288,35.155,4.236,87.004
AMB_0010290,35.256,99.815,27.456
AMB_0010342,98.003,94.79,7.504
AMB_0010365,63.751,36.331,80.11
AMB_0010479,67.941,95.279,14.278
AMB_0010555,60.757,78.131,3.48
AMB_0010559,6.723,77.852,36.633
AMB_0010830,38.285,56.724,60.509
AMB_0010988,67.906,94.882,37.201
AMB_0011145,76.308,57.392,52.946
AMB_0011166,39.803,64.956,24.961
AMB_0011232,11.345,73.567,49.904
AMB_0011793,38.699,56.167,26.178
AMB_0011860,26.029,44.627,99.637
AMB_0011880,28.558,91.648,49.12
AMB_0012051,12.264,85.283,45.204
AMB_0012096,89.868,44.511,8.779
AMB_0012136,68.193,84.552,31.959
AMB_0012146,34.743,6.494,54.217
AMB_0012354,89.133,85.136,71.181
AMB_0012411,92.732,63.77,79.37
AMB_0012437,50.876,12.136,20.098
AMB_0012442,13.888,79.037,2.628
AMB_0012763,55.402,36.891,80.366
AMB_0012928,55.165,61.195,8.622
AMB_0013023,30.929,99.96,71.887
AMB_0013092,52.57,76.916,82.334
AMB_0013109,7.375,97.238,64.234
AMB_0013246,44.997,68.011,34.451
AMB_0013444,87.796,78.026,63.979
AMB_0013481,18.196,96.626,43.262
AMB_0013482,91.071,5.541,12.416
AMB_0013485,15.302,16.466,32.266
AMB_0013535,70.933,34.602,94.09
AMB_0013634,89.493,84.593,25.061
AMB_0013654,63.506,55.084,12.517
AMB_0013935,30.282,53.348,50.257
AMB_0014036,16.864,94.161,15.419
AMB_0014091,65.873,72.063,60.514
AMB_0014116,84.253,56.362,82.524
AMB_0014235,2.837,4.546,64.145
AMB_0014262,57.677,65.113,76.696
AMB_0014267,41.659,63.899,49.804
AMB_0014418,62.716,28.967,95.665
AMB_0014502,48.294,80.469,68.499
AMB_0014536,29.743,7.297,5.991
AMB_0014787,43.961,48.425,20.402
AMB_0014969,60.666,31.258,71.836
AMB_0014981,73.42,86.078,97.537
AMB_0015029,13.077,37.054,56.165
AMB_0015107,31.912,46.647,26.747
AMB_0015185,24.792,9.681,29.021
AMB_0015432,38.415,61.538,24.827
AMB_0015608,86.531,15.97,32.744
AMB_0015901,57.769,31.271,76.312
AMB_0016014,49.827,51.472,49.876
AMB_0016122,30.854,2.318,94.523
AMB_0016167,50.544,96.669,21.514
AMB_0016179,35.29,5.054,49.489
AMB_0016251,88.234,65.426,47.059
AMB_0016294,53.669,84.717,43.093
AMB_0016333,88.246,72.751,76.386
AMB_0016339,36.594,40.058,57.028
AMB_0016432,19.466,55.322,7.353
AMB_0016435,50.426,76.44,27.972
AMB_0016466,98.909,68.04,11.881
AMB_0016578,97.508,39.39,79.49
AMB_0016626,33.909,93.895,75.497
AMB_0016667,19.906,50.912,50.008
AMB_0016726,4.53,13.704,33.304
AMB_0017089,47.374,45.699,60.626
AMB_0017113,51.551,32.797,61.307
AMB_0017147,16.25,99.062,73.932
AMB_0017444,29.923,33.637,82.829
AMB_0017530,53.234,70.874,29.979
AMB_0017605,81.575,36.836,67.381
AMB_0017621,97.99,58.37,79.675
AMB_0017741,72.532,68.804,2.665
AMB_0017757,47.459,96.707,78.29
AMB_0018045,77.616,57.763,72.14
AMB_0018136,58.352,17.051,62.903
AMB_0018250,61.974,84.117,14.778
AMB_0018292,68.073,3.157,94.821
AMB_0018330,10.99,1.894,31.369
AMB_0018447,15.143,69.05,41.038
AMB_0018451,77.497,92.052,87.282
AMB_0018636,73.584,6.228,13.808
AMB_0018687,20.734,32.505,66.223
AMB_0019102,52.548,31.375,17.318
AMB_0019179,91.212,34.233,35.429
AMB_0019190,77.199,72.092,64.331
AMB_0019217,69.331,61.008,19.226
AMB_0019306,24.652,55.809,22.487
AMB_0019411,97.291,29.761,28.9
AMB_0019601,20.728,70.499,31.704
AMB_0019686,34.88,93.37,79.541
AMB_0019708,27.346,12.187,67.662
AMB_0019772,37.969,98.016,81.838
AMB_0019920,95.461,80.462,29.045
AMB_0019938,28.763,71.414,34.636
AMB_0020030,44.238,25.644,47.908
AMB_0020051,20.207,53.858,93.302
AMB_0020089,69.617,13.727,61.568
AMB_0020531,58.683,24.246,66.983
AMB_0020628,53.104,63.794,5.249
AMB_0020760,41.33,71.736,10.054
AMB_0020925,77.077,0.518,55.035
AMB_0020962,92.91,40.691,93.503
AMB_0021233,87.84,47.745,19.946
AMB_0021571,96.391,32.117,64.59
AMB_0021601,90.794,8.946,57.413
AMB_0021627,53.515,72.312,93.667
AMB_0021648,91.323,17.506,88.224
AQU_0000381,17.579,91.963,99.717
AQU_0000415,39.699,49.538,93.661
AQU_0000416,96.213,92.604,87.674
AQU_0000498,0.927,56.796,10.73
AQU_0000677,98.299,28.456,98.91
AQU_0000820,54.33,49.391,93.856
AQU_0000875,85.106,46.802,19.281
AQU_0001128,11.265,16.249,45.891
AQU_0001169,25.726,18.62,73.662
AQU_0001170,79.077,56.778,75.728
AQU_0001171,17.549,85.615,89.704
AQU_0001172,82.699,51.528,8.674
AQU_0001434,66.926,18.478,14.061
AQU_0001468,32.36,24.805,26.079
AQU_0001469,23.552,75.376,95.403
AQU_0001470,30.195,72.288,1.144
AQU_0001471,65.368,69.277,6.212
AQU_0001667,11.822,30.681,40.542
AQU_0001960,50.252,89.512,70.356
AQU_0002190,31.098,11.742,91.613
AQU_0002332,29.504,61.463,21.913
AQU_0002333,13.357,15.319,74.773
AQU_0002334,60.574,41.585,54.923
AQU_0002535,47.083,53.752,66.409
AQU_0002536,21.841,24.747,75.474
AQU_0002815,87.314,8.187,44.675
AQU_0002986,70.377,7.81,56.417
AQU_0003447,6.176,54.765,50.549
AQU_0003448,57.27,14.985,32.812
AQU_0003633,52.034,11.624,20.54
AQU_0003869,58.315,9.094,51.038
AQU_0004098,80.869,45.343,51.325
AQU_0004302,45.68,5.774,46.238
AQU_0004303,80.692,72.328,39.595
AQU_0004304,81.645,74.58,57.831
AQU_0004349,4.529,34.453,6.376
AQU_0004539,99.412,93.458,6.902
AQU_0004547,93.378,3.173,40.887
AQU_0004548,76.897,76.583,97.833
AQU_0004549,64.588,42.036,99.286
AQU_0004550,38.248,86.962,90.677
AQU_0004551,37.565,68.273,66.179
AQU_0004552,53.93,65.353,34.777
AQU_0004567,17.847,53.726,52.884
AQU_0004568,72.786,22.269,0.347
AQU_0004628,2.274,29.836,67.35
AQU_0004629,54.445,53.193,82.336
AQU_0004921,24.751,34.616,27.565
AQU_0005090,93.741,72.502,11.284
AQU_0005107,80.948,41.924,76.605
AQU_0005119,88.376,1.565,20.608
AQU_0005144,10.09,3.358,59.778
AQU_0005151,70.329,4.868,74.054
AQU_0005210,40.227,23.434,21.727
AQU_0005211,86.373,5.644,50.39
AQU_0005520,28.926,81.579,73.152
AQU_0005521,31.89,59.792,67.253
AQU_0005759,32.067,30.176,14.326
AQU_0005760,66.021,22.104,30.05
AQU_0006378,6.096,94.852,87.971
AQU_0006807,91.158,62.599,42.72
AQU_0006808,49.562,97.229,94.159
AQU_0006809,67.134,78.58,31.873
AQU_0006810,41.632,14.922,37.646
AQU_0006820,75.442,47.352,84.934
AQU_0006913,30.074,70.758,80.578
AQU_0006914,91.474,56.239,96.779
AQU_0007036,55.729,13.409,24.286
AQU_0007190,20.334,64.671,92.223
AQU_0007191,84.713,9.246,72.458
AQU_0007258,19.048,26.846,67.367
AQU_0007321,60.292,87.362,18.816
AQU_0007322,76.17,72.431,55.885
AQU_0007323,47.939,86.947,33.296
AQU_0007376,95.702,1.533,93.716
AQU_0007384,96.208,11.732,99.957
AQU_0007543,47.892,24.259,60.44
AQU_0007559,20.451,91.513,55.208
AQU_0007560,77.551,38.066,53.365
AQU_0007722,35.926,26.156,51.282
AQU_0007951,49.728,9.861,98.132
AQU_0007952,46.949,83.973,91.433
AQU_0008121,37.07,41.393,56.252
AQU_0008317,22.127,14.592,26.077
AQU_0008318,93.476,57.914,41.758
AQU_0008477,15.241,32.987,37.984
AQU_0008527,83.336,49.93,65.461
AQU_0008598,68.485,25.733,82.159
AQU_0008599,96.651,64.169,49.06
